true_act	pred_act	true_turn	pred_turn
refusal	offer	Tomm; Not until people start rolling 8's :P; Refusal	[Offer]
offer	other	Tomm; Bugger. Got any clay to trade for sheep/wheat?; Offer	[Other]
refusal	counteroffer	Dave; Only got 1 and I'm holding on to it, sorry.; Refusal	[Counteroffer]
accept	other	rennoc1; got some clay. how many do you need; Accept	[Other]
offer	counteroffer	Tomm; Well, what would you like for clay and/or how many do you want to give?; Offer	[Counteroffer]
counteroffer	offer	rennoc1; could do with some ore or sheep; Counteroffer	[Offer]
counteroffer	offer	Dave; While we're talking about trading, does anyone have sheep; Counteroffer	[Offer]
accept	other	Tomm; I have sheep, yes.; Accept	[Other]
counteroffer	other	Dave; Need ore or wheat?; Counteroffer	[Other]
offer	offer	Tomm; Sheep for an ore and sheep for a clay?; Offer	[Offer]
accept	counteroffer	Dave; sure; Accept	[Counteroffer]
offer	other	Tomm; rennoc: Sheep for an ore?; Offer	[Other]
counteroffer	refusal	rennoc1; I dont have any ore, but i do have plenty clay; Counteroffer	[Refusal]
offer	offer	Dave; anyone need wheat?; Offer	[Offer]
refusal	offer	Tomm; no thanks; Refusal	[Offer]
offer	offer	Dave; rennoc?; Offer	[Offer]
refusal	offer	rennoc1; i'm ok for now; Refusal	[Offer]
offer	other	rennoc1; any got any wood they can trade; Offer	[Other]
refusal	offer	Dave; Nope; Refusal	[Offer]
refusal	other	Tomm; and I've only got 1, and I've only got 1, sorry.; Refusal	[Other]
accept	accept	rennoc1; yep; Accept	[Accept]
offer	offer	Dave; willing to trade for clay and sheep; Offer	[Offer]
counteroffer	counteroffer	Tomm; what for?; Counteroffer	[Counteroffer]
accept	offer	rennoc1; got some clay.; Accept	[Offer]
offer	offer	Dave; 1 ore for 1 clay?; Offer	[Offer]
accept	accept	rennoc1; ok; Accept	[Accept]
offer	offer	Tomm; Wheat? Sheep?; Offer	[Offer]
offer	offer	Tomm; Anyone needy?; Offer	[Offer]
refusal	accept	Dave; I need sheep, but I have nothing to trade, possibly when my turn rolls around I'll have something; Refusal	[Accept]
refusal	offer	rennoc1; yeah, ive nothing either; Refusal	[Offer]
accept	other	Tomm; Ore would be good.; Accept	[Other]
offer	offer	Dave; 1 ore for 1 sheep it is; Offer	[Offer]
counteroffer	accept	rennoc1; can I have some wood dave?; Counteroffer	[Accept]
counteroffer	offer	Dave; what have you got to trade?; Counteroffer	[Offer]
